744768[2617] 850370[418] -1 850372[732] -1 853132[523] -1 853242[418] -1 744768[2617] 850370[418] 850372[732] 853132[523] 853242[418] -1 -2  SUtility:9416
854793[2720] 856700[1046] -1 -2  SUtility:3766
826814[3140] -1 -2  SUtility:3140
545864[20942] -1 -2  SUtility:20942
826627[1046] 826835[3348] 829285[837] 829737[1360] -1 -2  SUtility:6591
850945[732] 850949[1360] 853428[418] -1 -2  SUtility:2510
853244[732] 854354[208] 854731[1674] -1 -2  SUtility:2614
821285[2092] 821292[627] -1 -2  SUtility:2719
664722[2092] -1 -2  SUtility:2092
854300[732] 854547[1360] 854579[313] -1 -2  SUtility:2405
836536[1570] 849357[345] 851737[313] -1 836536[1570] 849357[345] 851737[313] -1 -2  SUtility:4456
853340[1674] 853342[4186] -1 -2  SUtility:5860
854802[2442] -1 -2  SUtility:2442
708211[8375] 708213[8368] -1 -2  SUtility:16743
551609[313] 601042[3141] 819410[1360] -1 -2  SUtility:4814
853992[1254] 854358[1360] -1 -2  SUtility:2614
828989[5235] -1 -2  SUtility:5235
853698[837] 853700[837] 853767[1046] -1 -2  SUtility:2720
844394[5862] -1 -2  SUtility:5862
851324[1360] 853085[313] -1 -2  SUtility:1673
687845[2092] -1 -2  SUtility:2092
821277[6276] 821292[1254] -1 -2  SUtility:7530
821013[1883] -1 -2  SUtility:1883
829861[16752] -1 -2  SUtility:16752
854352[1360] 854536[313] 854547[1360] 854579[313] -1 854352[1360] 854547[1360] 854579[313] -1 854536[313] -1 -2  SUtility:6692
842463[1392] -1 -2  SUtility:1392
851150[3141] 851294[624] -1 -2  SUtility:3765
541407[26075] 850947[1046] 861410[2408] -1 860669[3141] -1 -2  SUtility:32670
533022[7329] -1 -2  SUtility:7329
853259[1672] -1 -2  SUtility:1672
821277[6276] -1 -2  SUtility:6276
851101[784] -1 -2  SUtility:784
829085[4188] -1 -2  SUtility:4188
853323[13509] -1 -2  SUtility:13509
821341[8376] -1 -2  SUtility:8376
820231[6276] -1 -2  SUtility:6276
853402[2617] -1 859732[1779] -1 -2  SUtility:4396
708372[1046] -1 708372[1046] -1 -2  SUtility:2092
509401[2092] -1 -2  SUtility:2092
572744[1779] 714755[941] 853147[832] 853381[416] 854787[523] 854793[1360] 854808[1779] -1 -2  SUtility:7630
531550[3036] 563238[7328] 717820[3978] 839313[4188] -1 -2  SUtility:18530
709690[1465] -1 581690[837] 837483[523] 837485[627] 838831[1778] -1 -2  SUtility:5230
685760[11414] 835940[5235] -1 -2  SUtility:16649
717528[5235] -1 -2  SUtility:5235
853090[4188] 853105[1046] -1 851326[1046] 853096[5235] -1 -2  SUtility:11515
821302[4710] 821305[6276] 821309[6282] 821315[10470] -1 -2  SUtility:27738
532070[6700] -1 532070[6700] -1 -2  SUtility:13400
699025[31311] -1 -2  SUtility:31311
690809[2408] 821302[3140] -1 -2  SUtility:5548
580424[4188] 836827[6596] -1 -2  SUtility:10784
602478[2617] 602480[2617] 636271[2093] -1 -2  SUtility:7327
821305[8368] 821309[3141] -1 -2  SUtility:11509
643698[5862] 688437[41783] -1 -2  SUtility:47645
834871[2093] -1 -2  SUtility:2093
714685[2408] -1 -2  SUtility:2408
835561[1252] -1 -2  SUtility:1252
853154[208] 853381[208] 853702[554] -1 -2  SUtility:970
537888[12462] -1 -2  SUtility:12462
819747[4502] -1 -2  SUtility:4502
711040[2093] 712559[2093] -1 -2  SUtility:4186
748336[1046] 832559[2092] -1 -2  SUtility:3138
853094[4188] -1 -2  SUtility:4188
853077[3664] -1 853077[3664] -1 -2  SUtility:7328
850949[2720] -1 850949[2720] -1 -2  SUtility:5440
717877[732] 826612[523] 826617[627] -1 -2  SUtility:1882
853077[3664] -1 853077[3664] -1 -2  SUtility:7328
821309[3141] -1 828959[2617] -1 -2  SUtility:5758
853072[15603] -1 -2  SUtility:15603
851152[3141] -1 -2  SUtility:3141
853102[5440] 854785[1464] 864880[1046] -1 853102[5440] 854785[1464] 864880[1046] -1 -2  SUtility:15900
656380[23981] -1 -2  SUtility:23981
821309[6282] -1 -2  SUtility:6282
546978[1360] -1 -2  SUtility:1360
840760[52150] -1 -2  SUtility:52150
712687[2931] -1 -2  SUtility:2931
586743[837] 834880[732] -1 -2  SUtility:1569
716654[2093] 851028[1046] 851163[627] -1 -2  SUtility:3766
850754[2303] -1 -2  SUtility:2303
826715[732] -1 -2  SUtility:732
536185[2093] 854347[1360] -1 845962[994] -1 -2  SUtility:4447
849121[3141] -1 -2  SUtility:3141
820255[3769] -1 -2  SUtility:3769
580293[2303] 714880[10471] -1 -2  SUtility:12774
821302[3140] -1 -2  SUtility:3140
536386[70058] 587740[10471] 839808[17698] -1 -2  SUtility:98227
821377[6282] 849327[9947] 853402[2617] 853709[837] -1 -2  SUtility:19683
717751[3350] -1 717751[3350] -1 -2  SUtility:6700
564687[2930] -1 564687[2930] -1 -2  SUtility:5860
853435[1046] 853698[837] 853700[837] 853722[418] 854118[1360] -1 -2  SUtility:4498
851150[3141] 851294[832] -1 -2  SUtility:3973
510445[8377] -1 -2  SUtility:8377
829730[4606] -1 -2  SUtility:4606
857015[1046] 857549[1464] -1 857549[732] -1 -2  SUtility:3242
613743[9424] 701812[3455] 718216[1046] 827009[1046] -1 -2  SUtility:14971
612704[5235] -1 -2  SUtility:5235
513340[2826] -1 -2  SUtility:2826
748291[2092] 748300[2092] 753507[523] 826889[1046] -1 -2  SUtility:5753
854060[1046] 854264[837] 854268[941] -1 -2  SUtility:2824
829707[1046] -1 829711[4705] -1 -2  SUtility:5751
684942[313] 685049[313] 716671[418] 851161[627] 851163[627] 851575[418] 851587[313] -1 -2  SUtility:3029
586645[2303] 820456[418] 821015[418] -1 586645[2303] 820456[418] 821015[418] -1 -2  SUtility:6278
710159[3350] -1 -2  SUtility:3350
554982[271] 826589[1674] 826612[523] 829387[627] 834877[732] -1 834880[732] -1 -2  SUtility:4559
854716[1046] -1 -2  SUtility:1046
821386[837] -1 -2  SUtility:837
644549[1674] -1 -2  SUtility:1674
644639[6282] -1 -2  SUtility:6282
826627[2092] -1 826835[3348] 826844[3140] -1 -2  SUtility:8580
854540[1570] -1 853730[1674] -1 -2  SUtility:3244
853072[15603] -1 -2  SUtility:15603
561558[7328] -1 -2  SUtility:7328
832559[2092] -1 832559[2092] -1 -2  SUtility:4184
846258[941] 850947[1046] 853325[8376] -1 846258[941] 850947[1046] 853325[8376] -1 -2  SUtility:20726
701787[16650] -1 -2  SUtility:16650
826801[1046] -1 -2  SUtility:1046
684044[13509] -1 -2  SUtility:13509
674658[1046] 674767[837] 832516[208] 832525[208] 850945[732] 853420[1046] -1 -2  SUtility:4077
691557[732] -1 -2  SUtility:732
